,V1,num_cs,num_worms,Prop-missing,Nb_bio_missing,,,,,Class,Value,Variable,Class_num,z-score,,,,,Class,Class_num,z_score,,Class,Value,Variable,Class_num,z-score
,,,,,,,,,,Gastropoda,302.419599,4num_bio_missing,27,0.080607626,,,Homoscleromorpha,1,3,,,,,,,,
,,,,,,,,,,Bivalvia,247.3887833,4num_bio_missing,28,-0.222273219,,,Hexactinellida,2,3,,,,,,,,
,,,,,,,,,,Polyplacophora,256.5513308,4num_bio_missing,29,-0.171844017,,,Calcarea,4,3,,,,,,,,
,,,,,,,,,,Cephalopoda,248.4068441,4num_bio_missing,26,-0.216669975,,,Demospongiae,3,3,,,,,,,,
,,,,,,,,,,Gymnolaemata,277.9306084,4num_bio_missing,19,-0.054175878,,,Anthozoa,5,-3,,,,,,,,
,,,,,,,,,,Homoscleromorpha,342.0684411,4num_bio_missing,1,0.298828538,,,Staurozoa,6,3,,,,,,,,
,,,,,,,,,,Calcarea,285.0570342,4num_bio_missing,3,-0.014953165,,,Cubozoa,8,3,,,,,,,,
,,,,,,,,,,Demospongiae,213.7927757,4num_bio_missing,2,-0.407180295,,,Hydrozoa,9,3,,,,,,,,
,,,,,,,,,,,,,,,,,Scyphozoa,7,3,,,,,,,,
,,,,,,,,,,,,,,,,,Leptocardii,10,3,,,,,,,,
,,,,,,,,,,,,,,,,,Ascidiacea,11,3,,,,,,,,
,,,,,,,,,,,,,,,,,Elasmobranchii,12,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Holocephali,13,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Reptilia,15,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Mammalia,16,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Actinopterygii,14,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Sagittoidea,17,3,,,,,,,,
,,,,,,,,,,,,,,,,,Enteropneusta,18,3,,,,,,,,
,,,,,,,,,,,,,,,,,Crinoidea,19,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Holothuroidea,20,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Echinoidea,21,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Ophiuroidea,22,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Asteroidea,23,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Enoplea,40,3,,,,,,,,
,,,,,,,,,,,,,,,,,Chromadorea,41,3,,,,,,,,
,,,,,,,,,,,,,,,,,Heterotardigrada,42,3,,,,,,,,
,,,,,,,,,,,,,,,,,Eutardigrada,43,3,,,,,,,,
,,,,,,,,,,,,,,,,,Diplopoda,47,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Chilopoda,48,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Ostracoda,51,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Malacostraca,52,-3,,,,,,,,
,,,,,,,,,,,,,,,,,Thecostraca,53,-3,,,,,,,,
