"","V1","V2"
"511","Antarctomysis ohlinii","Arthropoda"
"512","Axinella antarctica","Porifera"
"513","Inflatella coelosphaeroides","Porifera"
"514","Kampylaster incurvatus","Echinodermata"
"515","Ophiocamax gigas","Echinodermata"
"516","Colossendeis tortipalpis","Arthropoda"
"517","Colossendeis wilsoni","Arthropoda"
"518","Cellarinella nodulata","Bryozoa"
"519","Schizotricha nana","Cnidaria"
"520","Diaphana paessleri","Mollusca"
"521","Waldo parasiticus","Mollusca"
"522","Notothenia coriiceps","Chordata"
"523","Histiodraco velifer","Chordata"
"524","Gymnodraco acuticeps","Chordata"
"525","Heterophoxus videns","Arthropoda"
"526","Pseudoparatanais brachycephalus","Arthropoda"
"527","Stephos longipes","Arthropoda"
"528","Philomedes trithrix","Arthropoda"
"529","Ledella ecaudata","Mollusca"
"530","Parmaphorella mawsoni","Mollusca"
"531","Bathyraja maccaini","Chordata"
"532","Perknaster antarcticus","Echinodermata"
"533","Nymphon longicoxa","Arthropoda"
"534","Aglaophamus trissophyllus","Annelida"
"535","Idmidronea obtecta","Bryozoa"
"536","Staurotheca nonscripta","Cnidaria"
"537","Astarte antarctica","Mollusca"
"538","Marseniopsis mollis","Mollusca"
"539","Toledonia striata","Mollusca"
"540","Halobaena caerulea","Chordata"
"541","Pagothenia borchgrevinki","Chordata"
"542","Metafannyella lepidota","Cnidaria"
"543","Isosecuriflustra angusta","Bryozoa"
"544","Antistreptus contrarius","Mollusca"
"545","Uristes murrayi","Arthropoda"
"546","Epimeria (Drakepimeria) similis","Arthropoda"
"547","Trypanosyllis gigantea","Annelida"
"548","Ctenocidaris spinosa","Echinodermata"
"549","Iophon radiatum","Porifera"
"550","Myxodoryx hanitschi","Porifera"
"551","Myxilla (Myxilla) elongata","Porifera"
"552","Artemidactis victrix","Cnidaria"
"553","Edwardsia meridionalis","Cnidaria"
"554","Isocirrus yungi","Annelida"
"555","Neofungella claviformis","Bryozoa"
"556","Orthoporidra compacta","Bryozoa"
"557","Staurotheca dichotoma","Cnidaria"
"558","Artemisina tubulosa","Porifera"
"559","Nannobrachium achirus","Chordata"
"560","Iphimediella georgei","Arthropoda"
"561","Peraeospinosus subtigaleatus","Arthropoda"
"562","Clausocalanus laticeps","Arthropoda"
"563","Aforia hedleyi","Mollusca"
"564","Haliclona tenella","Porifera"
"565","Pseudosuberites nudus","Porifera"
"566","Amphiblestrum inermis","Bryozoa"
"567","Pycnogonum diceros","Arthropoda"
"568","Bathyplotes moseleyi","Echinodermata"
"569","Melanella antarctica","Mollusca"
"570","Sinuber microstriatum","Mollusca"
"571","Gymnoscopelus opisthopterus","Chordata"
"572","Prionodraco evansii","Chordata"
"573","Hyperiella macronyx","Arthropoda"
"574","Cuspidaria kerguelensis","Mollusca"
"575","Collotheca ornata","Rotifera"
"576","Haliclona scotti","Porifera"
"577","Asbestopluma (Asbestopluma) belgicae","Porifera"
"578","Suberites microstomus","Porifera"
"579","Arachnopusia latiavicularis","Bryozoa"
"580","Didemnum biglans","Chordata"
"581","Cellaria moniliorata","Bryozoa"
"582","Ophioperla koehleri","Echinodermata"
"583","Pyura georgiana","Chordata"
"584","Aegiochus antarctica","Arthropoda"
"585","Astarte longirostra","Mollusca"
"586","Eatoniella demissa","Mollusca"
