Species
Lovenella assimilis
Loxomitra kefersteinii
Loxosomella antedonis
Lucifer hanseni
Ludwigia grandiflora (Michx.)
Lulwoana uniseptata
Lumbrinerides acutiformis
Lumbrinerides neogesae
Lumbrineris crassicephala
Lumbrineris perkinsi
Lumbrineris zatsepini
Lutjanus argentimaculatus
Lutjanus goreensis
Lutjanus sebae
Lychaete herpestica
Lymnaea sp.
Lyrodus pedicellatus
Lysidice collaris
Macrobrachium nipponense
Macrobrachium rosenbergii
Macrocystis pyrifera
Macromedaeus voeltzkowi
Macrophthalmus (Macrophthalmus) graeffei
Macrophthalmus (Macrophthalmus) indicus
Macrorhynchia philippina
Mactra lilacea
Mactra olorina
Maeotias marginata
Magallana angulata
Magallana gigas
Magelona mirabilis
Malleus regula
Mantoniella squamata
Marenzelleria arctia
Marenzelleria neglecta
Marenzelleria sp
Marenzelleria viridis
Marenzelleria wireni
Maritigrella fuscopunctata
Marivagia stellata
Marphysa sanguinea
Marphysa victori
Marteilia refringens
Martesia striata
Mastocarpus stellatus
Matuta victor
Mawia benovici
Medeiothamnion lyallii
Mediomastus capensis
