"","Species","Phylum","Class"
"11806","Cryptospira","Mollusca","Gastropoda"
"11807","Cavilucina","Mollusca","Bivalvia"
"11808","Vasticardium insulare","Mollusca","Bivalvia"
"11809","Einhornia crustulenta","Bryozoa","Gymnolaemata"
"11810","Thuridilla gracilis","Mollusca","Gastropoda"
"11811","Carditella valdiviae","Mollusca","Bivalvia"
"11812","Clypeaster kieri","Echinodermata","Echinoidea"
"11813","Venitus latreillei","Arthropoda","Malacostraca"
"11814","Odontoglaja mosaica","Mollusca","Gastropoda"
"11815","Ilanga polita","Mollusca","Gastropoda"
"11816","Nassarius filmerae","Mollusca","Gastropoda"
"11817","Marionia levis","Mollusca","Gastropoda"
"11818","Karalla daura","Chordata","Teleostei"
"11819","Karalla dussumieri","Chordata","Teleostei"
"11820","Plesiotrochus unicinctus","Mollusca","Gastropoda"
"11821","Gibberythrops acanthurus","Arthropoda","Malacostraca"
"11822","Alticus magnusi","Chordata","Teleostei"
"11823","Africofusus africanus","Mollusca","Gastropoda"
"11824","Sclerophytum capitale","Cnidaria","Anthozoa"
"11825","Weltnerium eumitos","Arthropoda","Thecostraca"
"11826","Psammobiidae","Mollusca","Bivalvia"
"11827","Acanthopharynx","Nematoda","Chromadorea"
"11828","Polyclinum","Chordata","Ascidiacea"
"11829","Penilia avirostris","Arthropoda","Branchiopoda"
"11830","Enoplometopus","Arthropoda","Malacostraca"
"11831","Ephyrina","Arthropoda","Malacostraca"
"11832","Cuvieria","Cnidaria","Hydrozoa"
"11833","Hemiramphus","Chordata","Teleostei"
"11834","Polyipnus polli","Chordata","Teleostei"
"11835","Pareurythoe","Annelida","Polychaeta"
"11836","Brada","Annelida","Polychaeta"
"11837","Haplosclerida","Porifera","Demospongiae"
"11838","Cinachyra","Porifera","Demospongiae"
"11839","Colossendeis colossea","Arthropoda","Pycnogonida"
"11840","Colurella colurus","Rotifera","Eurotatoria"
"11841","Caryophylliidae","Cnidaria","Anthozoa"
"11842","Eudoxoides","Cnidaria","Hydrozoa"
"11843","Granulina","Mollusca","Gastropoda"
"11844","Coscinasterias calamaria","Echinodermata","Asteroidea"
"11845","Caloria indica","Mollusca","Gastropoda"
"11846","Bathycuma natalense","Arthropoda","Malacostraca"
"11847","Turbinaria porcellanea","Cnidaria","Anthozoa"
"11848","Nanosesarma jousseaumei","Arthropoda","Malacostraca"
"11849","Turbinella pyrum","Mollusca","Gastropoda"
"11850","Neoliomera sabaea","Arthropoda","Malacostraca"
"11851","Cyclax spinicinctus","Arthropoda","Malacostraca"
"11852","Ostracotheres tridacnae","Arthropoda","Malacostraca"
"11853","Metapenaeus dobsoni","Arthropoda","Malacostraca"
"11854","Synalpheus nilandensis","Arthropoda","Malacostraca"
"11855","Grandidierella bonnieroides","Arthropoda","Malacostraca"
"11856","Leptanthura minuta","Arthropoda","Malacostraca"
"11857","Choriaster granulatus","Echinodermata","Asteroidea"
"11858","Heliacus areola","Mollusca","Gastropoda"
"11859","Anguilla bengalensis","Chordata","Teleostei"
"11860","Antennarius maculatus","Chordata","Teleostei"
"11861","Rhinecanthus verrucosus","Chordata","Teleostei"
