"","Species","Phylum","Class"
"1399","Polymastiidae","Porifera","Demospongiae"
"1400","Pseudosuberites hyalinus","Porifera","Demospongiae"
"1401","Plexechinus planus","Echinodermata","Echinoidea"
"1402","Kinbergonuphis notialis","Annelida","Polychaeta"
"1403","Pelecanoides","Chordata","Aves"
"1404","Campylaspis","Arthropoda","Malacostraca"
"1405","Ophiacanthidae","Echinodermata","Ophiuroidea"
"1406","Myxodoryx hanitschi","Porifera","Demospongiae"
"1407","Chonelasma choanoides","Porifera","Hexactinellida"
"1408","Galatheanthemum profundale","Cnidaria","Anthozoa"
"1409","Leucon (Leucon) assimilis","Arthropoda","Malacostraca"
"1410","Asychis amphiglyptus","Annelida","Polychaeta"
"1411","Photidae","Arthropoda","Malacostraca"
"1412","Psolus punctatus","Echinodermata","Holothuroidea"
"1413","Hemiarthrum setulosum","Mollusca","Polyplacophora"
"1414","Epimeria (Hoplepimeria) quasimodo","Arthropoda","Malacostraca"
"1415","Laetmogone wyvillethomsoni","Echinodermata","Holothuroidea"
"1416","Belalora striatula","Mollusca","Gastropoda"
"1417","Bathydraco","Chordata","Teleostei"
"1418","Onogorgia nodosa","Cnidaria","Anthozoa"
"1419","Epimeria (Hoplepimeria) rimicarinata","Arthropoda","Malacostraca"
"1420","Leptothecata","Cnidaria","Hydrozoa"
"1421","Spigaleos horneroides","Bryozoa","Gymnolaemata"
"1422","Diastylis corniculata","Arthropoda","Malacostraca"
"1423","Pseudochirella hirsuta","Arthropoda","Copepoda"
"1424","Ophelina nematoides","Annelida","Polychaeta"
"1425","Pseudoscalibregma bransfieldium","Annelida","Polychaeta"
"1426","Scotoplanes globosa","Echinodermata","Holothuroidea"
"1427","Melanella antarctica","Mollusca","Gastropoda"
"1428","Harpagifer bispinis","Chordata","Teleostei"
"1429","Scleroconcha gallardoi","Arthropoda","Ostracoda"
"1430","Colossendeis megalonyx megalonyx","Arthropoda","Pycnogonida"
"1431","Lanicides bilobata","Annelida","Polychaeta"
"1432","Cymodocella tubicauda","Arthropoda","Malacostraca"
"1433","Antarctoneptunea aurora","Mollusca","Gastropoda"
"1434","Melanella convexa","Mollusca","Gastropoda"
"1435","Gaetanus kruppii","Arthropoda","Copepoda"
"1436","Oradarea walkeri","Arthropoda","Malacostraca"
